2011-04-01,3.13
2011-05-01,3.07
2011-06-01,3.02
2011-07-01,3.17
2011-08-01,3.06
2011-09-01,2.87
2011-10-01,2.68
2011-11-01,2.53
2011-12-01,2.2
2012-01-01,2.31
2012-02-01,2.36
2012-03-01,2.36
2012-04-01,2.27
2012-05-01,2.31
2012-06-01,2.26
2012-07-01,2.35
2012-08-01,2.51
2012-09-01,2.62
2012-10-01,2.46
2012-11-01,2.48
2012-12-01,2.41
2013-01-01,2.28
2013-02-01,2.2
2013-03-01,2.15
2013-04-01,2.29
2013-05-01,2.34
2013-06-01,2.28
2013-07-01,2.31
2013-08-01,2.48
2013-09-01,2.62
2013-10-01,2.73
2013-11-01,2.76
2013-12-01,2.82
2014-01-01,2.82
2014-02-01,2.99
2014-03-01,3.04
2014-04-01,3.05
2014-05-01,3.03
2014-06-01,3.17
2014-07-01,3.2
2014-08-01,3.27
2014-09-01,3.21
2014-10-01,3.1
2014-11-01,2.91
2014-12-01,2.95
2015-01-01,2.92
2015-02-01,2.96
2015-03-01,2.88
2015-04-01,2.87
2015-05-01,3.1
2015-06-01,3.24
2015-07-01,3.33
2015-08-01,3.15
2015-09-01,3.28
2015-10-01,3.2
2015-11-01,3.36
2015-12-01,3.35
2016-01-01,2.95
2016-02-01,2.92
2016-03-01,3.07
2016-04-01,3.08
2016-05-01,3.1
2016-06-01,3.12
2016-07-01,3.05
2016-08-01,3.03
2016-09-01,2.88
2016-10-01,2.71
2016-11-01,2.48
2016-12-01,2.3
2017-01-01,2.19
2017-02-01,2.03
2017-03-01,2.06
2017-04-01,1.96
2017-05-01,1.98
2017-06-01,2
2017-07-01,1.99
2017-08-01,1.99
2017-09-01,2
2017-10-01,2.1
2017-11-01,2.13
2017-12-01,1.92
2018-01-01,1.95
2018-02-01,2.12
2018-03-01,2.5
2018-04-01,2.62
2018-05-01,2.66
2018-06-01,2.41
2018-07-01,2.36
2018-08-01,2.17
2018-09-01,2.19
2018-10-01,2.13
2018-11-01,2.19
2018-12-01,2.21
2019-01-01,2.26
2019-02-01,2.26
2019-03-01,2.2
2019-04-01,2.33
2019-05-01,2.32
2019-06-01,2.41
2019-07-01,2.42
2019-08-01,2.19
2019-09-01,2.31
2019-10-01,2.44
2019-11-01,2.52
2019-12-01,2.44
2020-01-01,2.6
2020-02-01,2.72
2020-03-01,2.34
2020-04-01,2.27
2020-05-01,2.32
2020-06-01,2.23
2020-07-01,2.1
2020-08-01,2.35
2020-09-01,2.46
2020-10-01,2.29
2020-11-01,2.36
2020-12-01,2.41
2021-01-01,2.39
2021-02-01,2.41
2021-03-01,2.46
2021-04-01,2.37
2021-05-01,2.41
2021-06-01,2.37
2021-07-01,2.33
2021-08-01,2.48
2021-09-01,2.56
2021-10-01,2.57
